COMB Title,NumberOfConsoles,GCN,XBX,PS2,Brand,License,Publisher,Developer,NPD Super Genre,NPD Sub Genre,Launch,Launch Year,Launch Month,ESRB,Online,Review,AvgReleaseYearPrice,PriorSaleBrand (M),TotalPriorSalesBrand (M),ConcurrentReleaseBrand,ConcurrentReleaseGenre,PriorReleaseBrand,PriorReleaseGenre,FirstYearUnits,FirstYearSales (M),FirstYearRatio,LTD ASP,LTD Units,LTD Dollars (M),Vivendi,Peer group,Violent genre
TIME CRISIS 3,2,0,0,2,TIME CRISIS,,NAMCO,NAMCO,SHOOTER,OTHER SHOOTER,01-Oct-03,2003,10,T,NO,81.40000153,54.00,16.32,17.86,2,6,4,22,224207,13.07,88.22%,53.50,255614,14.81,No,No,Violent
TIME CRISIS: CRISIS ZONE,2,0,0,2,TIME CRISIS,,NAMCO,NAMCO,SHOOTER,OTHER SHOOTER,01-Oct-04,2004,10,T,NO,68.19999695,54.50,24.79,44.00,2,10,8,30,44343,2.59,53.35%,52.00,83834,4.85,No,No,Violent
TIME SPLITTERS,1,0,0,1,TIMESPLITTERS,,EIDOS INTERACTIVE ,FREE RADICAL DESIGN,SHOOTER,1ST PERSON SHOOTER,01-Oct-00,2000,10,T,NO,83,50.00,0.00,0.00,0,2,0,0,124943,5.92,84.92%,42.00,167841,6.97,No,No,Violent
TIMESPLITTERS 2,3,1,1,1,TIMESPLITTERS,,EIDOS INTERACTIVE ,FREE RADICAL DESIGN,SHOOTER,1ST PERSON SHOOTER,01-Oct-02,2002,10,T,NO,90.00000254,49.33,5.92,5.92,0,21,1,11,606388,25.15,88.22%,36.67,785732,28.51,No,No,Violent
TOCA RACE 2/MCRAE 04,1,0,1,0,BUNDLE,PRO RACING ALL OTHER,CODEMASTERS,CODEMASTERS,OTHER GAMES,OTHER GAMES,01-Oct-04,2004,10,T,YES,,30.00,0.18,0.18,0,0,1,1,10110,0.30,50.14%,28.00,21353,0.60,No,No,Non violent
TOCA RACE DRIVER 2,2,0,1,1,PRO RACE DRIVER,PRO RACING ALL OTHER,CODEMASTERS,CODEMASTERS,RACING,SPORTS ORIENTED RACING,01-Apr-04,2004,4,T,YES,83.85000229,30.50,3.40,3.40,0,7,2,47,82890,2.56,90.61%,30.00,93294,2.83,No,No,Non violent
TOEJAM & EARL III,1,0,1,0,TOEJAM & EARL,,SEGA OF AMERICA,TOEJAM & EARL PRODUCTIONS,ACTION,PLATFORM/SCROLLING CHARACTER,01-Oct-02,2002,10,T,NO,72,50.00,0.00,0.00,0,9,0,2,60215,2.77,93.16%,44.00,67883,2.98,No,No,Violent
TOKYO XTREME RACER,1,0,0,1,TOKYO XTREME RACER,,CRAVE ,,RACING,ACTION ORIENTED RACING,01-May-01,2001,5,E,NO,78.09999847,43.00,0.00,0.00,0,23,0,4,253346,8.41,58.85%,26.00,545560,14.28,No,No,Non violent
TOKYO XTREME RACER 3,1,0,0,1,TOKYO XTREME RACER,OTHER,CRAVE ,GENKI,RACING,ACTION ORIENTED RACING,01-Nov-03,2003,11,E,NO,62.79999924,21.00,8.41,8.41,0,17,1,44,205527,4.01,85.95%,19.00,248999,4.67,No,No,Non violent
TOM AND JERRY WAR OF THE WHISKER,3,1,1,1,TOM & JERRY,TOM & JERRY,NEWKIDCO,NEWKIDCO,FIGHTING,FIGHT/HEAD TO HEAD,01-Nov-02,2002,11,T,NO,59.43333435,25.00,0.00,0.00,0,21,0,21,136867,2.87,85.20%,19.67,162438,3.37,No,No,Violent
TOM CLANCY: GHOST RECON,3,1,1,1,TOM CLANCY,TOM CLANCY,UBISOFT,UBISOFT ENTERTAINMENT,SHOOTER,SQUAD BASED COMBAT,01-Nov-02,2002,2,M,NO,,46.00,0.00,0.00,2,6,0,1,1704466,70.47,87.37%,36.33,2187524,80.66,No,Yes,Violent
TOM CLANCY'S GHOST RECON 2,2,0,1,1,TOM CLANCY,TOM CLANCY,UBISOFT,RED STORM ENTERTAINMENT,SHOOTER,SQUAD BASED COMBAT,01-Nov-04,2004,11,T,YES,,48.50,58.72,183.59,6,8,7,18,759129,36.84,77.22%,47.00,1006167,47.72,No,Yes,Violent
TOM CLANCY'S GHOST RECON JUNGLE,1,0,0,1,TOM CLANCY,TOM CLANCY,UBISOFT,UBISOFT ENTERTAINMENT,SHOOTER,SQUAD BASED COMBAT,01-Mar-04,2004,3,M,YES,,30.00,29.39,63.39,3,4,2,8,296384,8.83,83.80%,27.00,384984,10.53,No,Yes,Violent
TOM CLANCY'S RAINBOW SIX 3,4,1,2,1,TOM CLANCY,TOM CLANCY,UBISOFT,UBISOFT ENTERTAINMENT,ACTION,GENERAL ACTION,01-Oct-03,2003,3,M,NO,,44.75,145.49,249.61,8,44,8,38,930924,37.96,91.22%,38.50,1082475,41.62,No,Yes,Violent
TOM CLANCY'S SPLINTER CELL,3,1,1,1,TOM CLANCY,TOM CLANCY,UBISOFT,UBISOFT ENTERTAINMENT,ACTION,STEALTH ACTION,01-Nov-02,2002,4,T,NO,,45.67,34.00,34.00,2,8,1,4,2055604,89.54,89.42%,36.67,2579811,100.13,No,Yes,Violent
TOM CLANCY'S SPLINTER CELL: PAND,3,1,1,1,TOM CLANCY,TOM CLANCY,UBISOFT,UBISOFT ENTERTAINMENT,ACTION,STEALTH ACTION,01-Mar-04,2004,3,T,NO,,43.33,62.92,190.60,7,18,9,16,785412,36.04,91.21%,39.33,937154,39.52,No,Yes,Violent
TOM CLANCY'S THE SUM OF ALL FEAR,1,1,0,0,,TOM CLANCY,UBISOFT,RED STORM ENTERTAINMENT,SHOOTER,SQUAD BASED COMBAT,01-Jan-03,2003,1,T,NO,35,30.00,0.00,0.00,0,3,0,0,20051,0.60,97.74%,29.00,20740,0.61,No,Yes,Violent
TOMB RAIDER ANGEL OF DARKNESS,1,0,0,1,TOMB RAIDER,TOMB RAIDER,EIDOS INTERACTIVE ,CORE DESIGN,ADVENTURE,GENERAL ADVENTURE,01-Jun-03,2003,6,T,NO,53.79999924,46.00,0.00,0.00,0,4,0,16,359498,14.78,91.10%,36.00,455122,16.22,No,No,Non violent
TONKA RESCUE PATROL,1,1,0,0,TONKA,TONKA,TAKE 2 INTERACTIVE ,LUCKY CHICKEN GAMES,CHILDREN'S ,CHILDREN'S GAMES,01-Nov-03,2003,11,E,NO,66,20.00,0.00,0.00,0,6,0,5,33887,0.58,83.63%,17.00,40952,0.69,No,No,Non violent
TONY HAWK'S PRO SKATER 2,1,0,1,0,TONY HAWK,TONY HAWK,ACTIVISION,NEVERSOFT ENTERTAINMENT,SPORTS,EXTREME SPORTS,01-Nov-01,2001,11,T,NO,82.80000305,50.00,0.00,0.00,0,6,0,0,275447,12.13,92.77%,39.00,336881,13.07,No,No,Non violent
TONY HAWK'S PRO SKATER 3,3,1,1,1,TONY HAWK,TONY HAWK,ACTIVISION,NEVERSOFT ENTERTAINMENT,SPORTS,EXTREME SPORTS,01-Oct-01,2001,3,T,NO,90.70000203,47.00,24.80,12.13,1,22,1,10,2208598,91.58,87.01%,35.00,2908896,105.24,No,No,Non violent
TONY HAWK'S PRO SKATER 4,3,1,1,1,TONY HAWK,TONY HAWK,ACTIVISION,NEVERSOFT ENTERTAINMENT,SPORTS,EXTREME SPORTS,01-Oct-02,2002,10,T,NO,89.83333333,48.00,109.63,96.96,1,37,3,24,1950868,79.27,88.91%,34.33,2461400,89.16,No,No,Non violent
TONY HAWK'S UNDERGROUND,3,1,1,1,TONY HAWK,TONY HAWK,ACTIVISION,NEVERSOFT ENTERTAINMENT,SPORTS,EXTREME SPORTS,01-Oct-03,2003,10,T,NO,87.36666616,47.00,79.27,182.98,0,15,7,64,2507618,102.90,93.16%,38.00,2834524,110.45,No,No,Non violent
TONY HAWK'S UNDERGROUND 2,3,1,1,1,TONY HAWK,TONY HAWK,ACTIVISION,NEVERSOFT ENTERTAINMENT,SPORTS,EXTREME SPORTS,01-Oct-04,2004,10,T,NO,84.45000076,45.67,102.90,285.88,0,4,10,82,1282123,58.13,86.17%,42.33,1585808,67.46,No,No,Non violent
TOP ANGLER,1,0,0,1,,,XICAT INTERACTIVE,SIMS,SPORTS,FISHING,01-Mar-02,2002,3,E,NO,51,30.00,0.00,0.00,0,2,0,1,41036,1.24,97.51%,30.00,42489,1.27,No,No,Non violent
TOP GEAR DARE DEVIL,1,0,0,1,TOP GEAR,,KEMCO AMERICA,PAPAYA STUDIO,RACING,ACTION ORIENTED RACING,01-Dec-00,2000,12,E,NO,58.5,50.00,0.00,0.00,0,3,0,0,99473,2.81,70.80%,25.00,157902,3.97,No,No,Non violent
