COMB Title,NumberOfConsoles,GCN,XBX,PS2,Brand,License,Publisher,Developer,NPD Super Genre,NPD Sub Genre,Launch,Launch Year,Launch Month,ESRB,Online,Review,AvgReleaseYearPrice,PriorSaleBrand (M),TotalPriorSalesBrand (M),ConcurrentReleaseBrand,ConcurrentReleaseGenre,PriorReleaseBrand,PriorReleaseGenre,FirstYearUnits,FirstYearSales (M),FirstYearRatio,LTD ASP,LTD Units,LTD Dollars (M),Vivendi,Peer group,Violent genre
NASCAR THUNDER 2003,3,1,1,1,NASCAR THUNDER,NASCAR,ELECTRONIC ARTS,ELECTRONIC ARTS,RACING,SPORTS ORIENTED RACING,01-Sep-02,2002,9,E,NO,83.96666718,47.67,29.40,29.40,0,23,2,14,685633,28.49,89.03%,36.33,815820,32.01,No,Yes,Non violent
NASCAR THUNDER 2004,2,0,1,1,NASCAR THUNDER,NASCAR,ELECTRONIC ARTS,ELECTRONIC ARTS,RACING,SPORTS ORIENTED RACING,01-Sep-03,2003,9,E,NO,85.40000153,49.00,25.16,54.56,0,12,4,33,531207,25.16,91.72%,46.00,589621,27.43,No,Yes,Non violent
NASCAR: DIRT 2 DAYTONA,2,1,0,1,,NASCAR,ATARI,MONSTER GAMES,RACING,SPORTS ORIENTED RACING,01-Nov-02,2002,11,E,NO,82.64999771,50.00,0.00,0.00,0,19,0,11,227893,9.19,87.74%,33.50,284837,10.48,No,No,Non violent
NAVAL OPS: COMMANDER,1,0,0,1,NAVAL OPS,,KOEI,MICRO CABIN,SHOOTER,MECHANIZED SHOOTER,01-Mar-04,2004,3,T,NO,61.70000076,48.00,1.93,1.93,0,1,1,16,17369,0.84,90.58%,45.00,20462,0.92,No,No,Violent
NAVAL OPS: WARSHIP,1,0,0,1,NAVAL OPS,,KOEI,MICRO CABIN,SHOOTER,MECHANIZED SHOOTER,01-Jun-03,2003,6,T,NO,66.5,51.00,0.00,0.00,0,2,0,13,39230,1.93,94.42%,48.00,42881,2.05,No,No,Violent
NBA 2K2,3,1,1,1,NBA 2K,NATL BASKETBALL ASSOC,SEGA OF AMERICA,VISUAL CONCEPTS,SPORTS,BASKETBALL,01-Jan-02,2002,1,E,NO,89,42.00,0.00,0.00,3,24,0,9,601038,26.91,95.85%,38.33,668241,28.08,No,No,Non violent
NBA 2K3,3,1,1,1,NBA 2K,NATL BASKETBALL ASSOC,SEGA OF AMERICA,VISUAL CONCEPTS,SPORTS,BASKETBALL,01-Oct-02,2002,10,E,NO,84.30000305,49.67,0.00,0.00,3,24,0,9,632006,28.36,94.31%,39.33,694649,30.07,No,No,Non violent
NBA BALLERS,2,0,1,1,,NATL BASKETBALL ASSOC,MIDWAY,MIDWAY HOME ENTERTAINMENT,SPORTS,BASKETBALL,01-Apr-04,2004,4,E,NO,83.40000153,38.00,0.00,0.00,0,8,0,44,772487,29.55,91.98%,35.50,904564,32.13,No,No,Non violent
NBA COURTSIDE 2002,1,1,0,0,NBA COURTSIDE,NATL BASKETBALL ASSOC,NINTENDO OF AMERICA,LEFT FIELD PRODUCTIONS,SPORTS,BASKETBALL,01-Jan-02,2002,1,E,NO,71.40000153,49.00,0.00,0.00,0,6,0,0,123261,5.96,88.44%,42.00,160797,6.74,No,No,Non violent
NBA HOOPZ,1,0,0,1,,NATL BASKETBALL ASSOC,MIDWAY,EUROCOM DEVELOPMENTS,SPORTS,BASKETBALL,01-Feb-01,2001,2,E,NO,62.09999847,42.00,0.00,0.00,0,6,0,1,52755,2.18,86.65%,36.00,70152,2.51,No,No,Non violent
NBA INSIDE DRIVE 2002,1,0,1,0,NBA INSIDE DRIVE,NATL BASKETBALL ASSOC,MICROSOFT ,HIGH VOLTAGE SOFTWARE,SPORTS,BASKETBALL,01-Jan-02,2002,1,E,NO,77.40000153,39.00,0.00,0.00,1,8,0,1,209613,8.17,97.98%,38.00,221195,8.34,No,No,Non violent
NBA INSIDE DRIVE 2003,1,0,1,0,NBA INSIDE DRIVE,NATL BASKETBALL ASSOC,MICROSOFT ,HIGH VOLTAGE SOFTWARE,SPORTS,BASKETBALL,01-Oct-02,2002,10,E,NO,76.59999847,48.00,0.00,0.00,1,8,0,1,152569,4.71,88.43%,29.00,185347,5.32,No,No,Non violent
NBA INSIDE DRIVE 2004,1,0,1,0,NBA INSIDE DRIVE,NATL BASKETBALL ASSOC,MICROSOFT ,HIGH VOLTAGE SOFTWARE,SPORTS,BASKETBALL,01-Nov-03,2003,11,E,YES,73.80000305,47.00,8.17,12.88,0,6,2,10,92538,3.63,94.61%,38.00,100828,3.83,No,No,Non violent
NBA JAM,2,0,1,1,NBA JAM,NATL BASKETBALL ASSOC,ACCLAIM  ,ACCLAIM STUDIOS,SPORTS,BASKETBALL,01-Sep-03,2003,9,E,NO,68.29999924,35.00,0.00,0.00,0,13,0,29,201906,6.03,89.94%,28.00,240469,6.70,No,No,Non violent
NBA LIVE 2001,1,0,0,1,NBA LIVE,NATL BASKETBALL ASSOC,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,BASKETBALL,01-Jan-01,2001,1,E,NO,75.59999847,48.00,0.00,0.00,1,6,0,1,386148,18.56,97.37%,47.00,409670,19.06,No,Yes,Non violent
NBA LIVE 2002,2,0,1,1,NBA LIVE,NATL BASKETBALL ASSOC,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,BASKETBALL,01-Oct-01,2001,10,E,NO,71.95000076,49.50,0.00,0.00,1,6,0,1,942380,45.48,95.43%,46.00,1019710,47.66,No,Yes,Non violent
NBA LIVE 2003,3,1,1,1,NBA LIVE,NATL BASKETBALL ASSOC,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,BASKETBALL,01-Oct-02,2002,10,E,NO,81.53333282,47.33,45.48,64.04,0,24,3,9,1321535,61.86,93.88%,41.33,1445843,65.89,No,Yes,Non violent
NBA LIVE 2004,3,1,1,1,NBA LIVE,NATL BASKETBALL ASSOC,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,BASKETBALL,01-Oct-03,2003,10,E,NO,81.53333282,49.67,61.86,125.90,0,15,6,36,1655574,80.88,95.62%,47.67,1754610,84.58,No,Yes,Non violent
NBA LIVE 2005,3,1,1,1,NBA LIVE,NATL BASKETBALL ASSOC,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,BASKETBALL,01-Sep-04,2004,9,E,NO,81.30000051,33.33,80.88,206.78,0,8,9,54,1891910,63.45,77.47%,32.33,2512198,81.90,No,Yes,Non violent
NBA SHOOTOUT 2001,1,0,0,1,NBA SHOOTOUT,NATL BASKETBALL ASSOC,SONY ,989 SPORTS,SPORTS,BASKETBALL,01-Feb-01,2001,2,E,NO,57,42.00,0.00,0.00,0,6,0,1,46278,1.91,88.35%,36.00,59863,2.17,No,Yes,Non violent
NBA SHOOTOUT 2003,1,0,0,1,NBA SHOOTOUT,NATL BASKETBALL ASSOC,SONY ,SONY COMPUTER ENTERTAINMENT,SPORTS,BASKETBALL,01-Sep-02,2002,9,E,NO,68.40000153,39.00,1.91,1.91,0,10,1,8,70416,2.66,87.28%,35.00,87144,3.05,No,Yes,Non violent
NBA SHOOTOUT 2004,1,0,0,1,NBA SHOOTOUT,NATL BASKETBALL ASSOC,SONY ,KILLER GAME,SPORTS,BASKETBALL,01-Oct-03,2003,10,E,YES,64.19999695,40.00,2.66,4.58,0,7,2,19,89290,3.26,92.27%,35.00,100438,3.54,No,Yes,Non violent
NBA STARTING FIVE,2,0,1,1,,NATL BASKETBALL ASSOC,KONAMI DIGITAL ENT.,KONAMI,SPORTS,BASKETBALL,01-Oct-02,2002,10,E,NO,52.69999886,42.50,0.00,0.00,0,18,0,9,66490,0.99,83.46%,16.50,81520,1.18,No,No,Non violent
NBA STREET,2,1,0,1,NBA STREET,NATL BASKETBALL ASSOC,ELECTRONIC ARTS,NUFX,SPORTS,BASKETBALL,01-Jun-01,2001,2,E,NO,85.70000076,43.50,0.00,0.00,0,12,0,1,1031438,43.23,68.03%,29.50,1970716,63.54,No,Yes,Non violent
NBA STREET VOL 2,3,1,1,1,NBA STREET,NATL BASKETBALL ASSOC,ELECTRONIC ARTS,NUFX,SPORTS,BASKETBALL,01-Apr-03,2003,4,E,NO,88.79999797,46.33,43.23,43.23,0,15,2,36,1480506,63.24,82.63%,33.67,2136674,76.53,No,Yes,Non violent
NCAA BASKETBALL 2K3,3,1,1,1,NCAA BASKETBALL,COLLEGE LIC PRODUCTS,SEGA OF AMERICA,KUSH GAMES,SPORTS,BASKETBALL,01-Dec-02,2002,12,E,NO,83.19999949,50.00,0.00,0.00,0,24,0,9,173738,8.19,98.42%,46.33,183613,8.32,No,No,Non violent
NCAA FINAL FOUR 2001,1,0,0,1,NCAA FINAL FOUR,COLLEGE LIC PRODUCTS,SONY ,KILLER GAME,SPORTS,BASKETBALL,01-Dec-00,2000,12,E,NO,48.79999924,50.00,0.00,0.00,0,0,0,0,64895,2.98,94.90%,42.00,74713,3.14,No,Yes,Non violent
NCAA FINAL FOUR 2002,1,0,0,1,NCAA FINAL FOUR,COLLEGE LIC PRODUCTS,SONY ,KILLER GAME,SPORTS,BASKETBALL,01-Jul-01,2001,7,E,NO,64.59999847,50.00,2.98,2.98,0,6,1,1,89134,4.06,81.38%,40.00,123104,4.98,No,Yes,Non violent
NCAA FINAL FOUR 2003,1,0,0,1,NCAA FINAL FOUR,COLLEGE LIC PRODUCTS,SONY ,KILLER GAME,SPORTS,BASKETBALL,01-Nov-02,2002,11,E,NO,57.59999847,40.00,4.06,7.04,0,10,2,8,63283,2.40,92.43%,35.00,74478,2.60,No,Yes,Non violent
NCAA FINAL FOUR 2004,1,0,0,1,NCAA FINAL FOUR,COLLEGE LIC PRODUCTS,SONY ,SONY COMPUTER ENTERTAINMENT,SPORTS,BASKETBALL,01-Nov-03,2003,11,E,YES,50.5,40.00,2.40,9.44,0,7,3,19,62498,2.09,92.48%,32.00,70881,2.26,No,Yes,Non violent
NCAA FOOTBALL 2002,1,0,0,1,NCAA FOOTBALL,COLLEGE LIC PRODUCTS,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,FOOTBALL,01-Jul-01,2001,7,E,NO,89.80000305,50.00,0.00,0.00,0,5,0,3,595396,29.94,94.64%,50.00,633544,31.63,No,Yes,Non violent
NCAA FOOTBALL 2003,3,1,1,1,NCAA FOOTBALL,COLLEGE LIC PRODUCTS,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,FOOTBALL,01-Jul-02,2002,7,E,NO,89.96666463,46.00,29.94,29.94,0,21,1,13,1308129,61.67,95.79%,41.00,1407070,64.38,No,Yes,Non violent
NCAA FOOTBALL 2004,3,1,1,1,NCAA FOOTBALL,COLLEGE LIC PRODUCTS,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,FOOTBALL,01-Jul-03,2003,7,E,NO,90.16666667,49.33,61.67,91.61,0,12,4,37,1422111,69.48,96.89%,47.00,1489817,71.71,No,Yes,Non violent
NCAA FOOTBALL 2005,3,1,1,1,NCAA FOOTBALL,COLLEGE LIC PRODUCTS,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,FOOTBALL,01-Jul-04,2004,7,E,NO,87.83333333,46.33,69.48,161.09,0,12,7,52,1470712,68.82,93.69%,45.33,1602322,73.46,No,Yes,Non violent
NCAA FOOTBALL 2K3,3,1,1,1,NCAA FOOTBALL 2K,COLLEGE LIC PRODUCTS,SEGA OF AMERICA,AVALANCHE SOFTWARE,SPORTS,FOOTBALL,01-Aug-02,2002,8,E,NO,72.03333537,33.00,0.00,0.00,0,21,0,13,255477,6.83,85.60%,20.67,353989,7.98,No,No,Non violent
NCAA GAMEBREAKER 2001,1,0,0,1,NCAA GAMEBREAKER,COLLEGE LIC PRODUCTS,SONY ,RED ZONE INTERACTIVE,SPORTS,FOOTBALL,01-Dec-00,2000,12,E,NO,51.09999847,50.00,0.00,0.00,0,2,0,0,51143,2.26,93.03%,40.00,60762,2.43,No,Yes,Non violent
NCAA GAMEBREAKER 2003,1,0,0,1,NCAA GAMEBREAKER,COLLEGE LIC PRODUCTS,SONY ,RED ZONE INTERACTIVE,SPORTS,FOOTBALL,01-Aug-02,2002,8,E,NO,61.5,39.00,2.26,2.26,0,7,1,9,76428,2.92,91.34%,35.00,91084,3.20,No,Yes,Non violent
NCAA GAMEBREAKER 2004,1,0,0,1,NCAA GAMEBREAKER,COLLEGE LIC PRODUCTS,SONY ,SONY COMPUTER ENTERTAINMENT,SPORTS,FOOTBALL,01-Aug-03,2003,8,E,YES,64.69999695,39.00,2.92,5.18,0,6,2,17,74684,2.60,92.14%,32.00,87438,2.82,No,Yes,Non violent
NCAA MARCH MADNESS 2004,2,0,1,1,NCAA MARCH MADNESS,COLLEGE LIC PRODUCTS,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,BASKETBALL,01-Nov-03,2003,11,E,NO,80.34999847,49.50,0.00,0.00,0,13,0,29,510637,23.97,95.80%,46.00,541744,25.02,No,Yes,Non violent
NCAA MARCH MADNESS 2005,2,0,1,1,NCAA MARCH MADNESS,COLLEGE LIC PRODUCTS,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,BASKETBALL,01-Nov-04,2004,11,E,YES,80.59999847,38.00,23.97,23.97,0,8,2,44,279946,10.75,62.61%,34.50,495116,17.18,No,Yes,Non violent
NCAA MARCH MDNSS 2003,1,0,0,1,,COLLEGE LIC PRODUCTS,ELECTRONIC ARTS,NUFX,SPORTS,BASKETBALL,01-Nov-02,2002,11,E,NO,73.69999695,50.00,0.00,0.00,0,10,0,8,242192,11.58,94.68%,46.00,265153,12.23,No,Yes,Non violent
NEED FOR SPEED: HOT PURSUIT 2,3,1,1,1,NEED FOR SPEED,,ELECTRONIC ARTS,BLACK BOX GAMES,RACING,ACTION ORIENTED RACING,01-Sep-02,2002,9,E,NO,81.23333232,50.00,0.00,0.00,0,28,0,36,1118027,44.57,63.79%,28.67,2352373,69.86,No,Yes,Non violent
NEED FOR SPEED: UNDERGROUND,3,1,1,1,NEED FOR SPEED,OTHER,ELECTRONIC ARTS,BLACK BOX GAMES,RACING,ACTION ORIENTED RACING,01-Nov-03,2003,11,E,NO,84,49.00,44.57,44.57,0,54,3,67,3199921,149.55,91.13%,41.33,3830541,164.12,No,Yes,Non violent
NEED FOR SPEED: UNDERGROUND 2,3,1,1,1,NEED FOR SPEED,OTHER,ELECTRONIC ARTS,ELECTRONIC ARTS,RACING,ACTION ORIENTED RACING,01-Nov-04,2004,11,E,NO,80.53333282,48.33,149.55,194.12,0,27,6,124,2453829,118.56,79.51%,48.33,3074952,149.12,No,Yes,Non violent
NEO CONTRA,1,0,0,1,CONTRA,,KONAMI DIGITAL ENT.,KONAMI,ACTION,GENERAL ACTION,01-Oct-04,2004,10,M,NO,66.90000153,36.00,10.17,10.17,0,40,1,82,26282,0.95,51.98%,29.00,62175,1.82,No,No,Violent
NEW LEGENDS,1,0,1,0,,,THQ ,INFINITE MACHINE,ACTION,GENERAL ACTION,01-Feb-02,2002,2,T,NO,52.90000153,41.00,0.00,0.00,0,21,0,2,30583,1.22,83.16%,28.00,52823,1.46,No,Yes,Violent
NFL 2K2,2,0,1,1,NFL 2K,NATL FOOTBALL LEAGUE,SEGA OF AMERICA,VISUAL CONCEPTS,SPORTS,FOOTBALL,01-Nov-01,2001,1,E,NO,86.25,45.50,0.00,0.00,1,13,0,5,419780,18.27,95.34%,39.50,462825,19.17,No,No,Non violent
NFL 2K3,3,1,1,1,NFL 2K,NATL FOOTBALL LEAGUE,SEGA OF AMERICA,VISUAL CONCEPTS,SPORTS,FOOTBALL,01-Aug-02,2002,8,E,NO,88.76666514,38.00,14.85,14.85,1,21,1,13,975417,26.89,88.60%,23.33,1287629,30.35,No,No,Non violent
NFL BLITZ 2002,3,1,1,1,NFL BLITZ,NATL FOOTBALL LEAGUE,MIDWAY,MIDWAY HOME ENTERTAINMENT,SPORTS,FOOTBALL,01-Feb-02,2002,2,E,NO,79.56666819,37.67,0.00,0.00,3,21,0,13,215219,8.58,98.14%,36.33,224025,8.74,No,No,Non violent
NFL BLITZ 2003,3,1,1,1,NFL BLITZ,NATL FOOTBALL LEAGUE,MIDWAY,,SPORTS,FOOTBALL,01-Aug-02,2002,8,E,NO,75.26666768,43.00,0.00,0.00,3,21,0,13,296530,11.98,90.78%,36.00,350350,13.19,No,No,Non violent
NFL BLITZ PRO,3,1,1,1,NFL BLITZ,NATL FOOTBALL LEAGUE,MIDWAY,MIDWAY HOME ENTERTAINMENT,SPORTS,FOOTBALL,01-Oct-03,2003,10,E,NO,71.33333079,40.00,17.40,20.56,0,12,6,37,125713,4.44,96.01%,33.00,134228,4.62,No,No,Non violent
NFL FEVER 2002,1,0,1,0,NFL FEVER,NATL FOOTBALL LEAGUE,MICROSOFT ,MICROSOFT,SPORTS,FOOTBALL,01-Oct-01,2001,10,E,NO,80.5,49.00,0.00,0.00,0,1,0,0,535393,24.50,94.59%,44.00,589998,25.90,No,No,Non violent
NFL FEVER 2003,1,0,1,0,NFL FEVER,NATL FOOTBALL LEAGUE,MICROSOFT ,MICROSOFT,SPORTS,FOOTBALL,01-Aug-02,2002,8,E,YES,79.59999847,41.00,24.50,24.50,0,8,1,2,306177,11.57,92.20%,36.00,352347,12.55,No,No,Non violent
NFL FEVER 2004,1,0,1,0,NFL FEVER,NATL FOOTBALL LEAGUE,MICROSOFT ,MICROSOFT,SPORTS,FOOTBALL,01-Aug-03,2003,8,E,YES,75.09999847,43.00,11.57,36.07,0,4,2,11,164370,6.60,92.54%,39.00,185346,7.14,No,No,Non violent
NFL GAMEDAY 2001,1,0,0,1,NFL GAMEDAY,NATL FOOTBALL LEAGUE,SONY ,RED ZONE INTERACTIVE,SPORTS,FOOTBALL,01-Nov-00,2000,11,E,NO,51.40000153,48.00,0.00,0.00,0,2,0,0,127284,5.69,91.92%,43.00,145129,6.19,No,Yes,Non violent
NFL GAMEDAY 2002,1,0,0,1,NFL GAMEDAY,NATL FOOTBALL LEAGUE,SONY ,RED ZONE INTERACTIVE,SPORTS,FOOTBALL,01-Dec-01,2001,12,E,NO,55.09999847,50.00,5.69,5.69,0,5,1,3,146883,6.66,98.35%,44.00,153725,6.78,No,Yes,Non violent
NFL GAMEDAY 2003,1,0,0,1,NFL GAMEDAY,NATL FOOTBALL LEAGUE,SONY ,RED ZONE INTERACTIVE,SPORTS,FOOTBALL,01-Aug-02,2002,8,E,YES,68.19999695,40.00,6.66,12.36,0,7,2,9,134538,5.15,90.26%,36.00,157619,5.71,No,Yes,Non violent
NFL GAMEDAY 2004,1,0,0,1,NFL GAMEDAY,NATL FOOTBALL LEAGUE,SONY ,SONY COMPUTER ENTERTAINMENT,SPORTS,FOOTBALL,01-Aug-03,2003,8,E,YES,69.5,39.00,5.15,17.51,0,6,3,17,139933,5.13,93.15%,35.00,158045,5.51,No,Yes,Non violent
NFL PRIMETIME 2002,2,0,1,1,,NATL FOOTBALL LEAGUE,KONAMI DIGITAL ENT.,FARSIGHT STUDIOS,SPORTS,FOOTBALL,01-Nov-01,2001,1,E,NO,60.89999962,41.00,0.00,0.00,0,13,0,5,38695,1.68,95.39%,36.00,43223,1.76,No,No,Non violent
NFL QUARTERBACK CLUB 2002,2,1,0,1,NFL QUARTERBACK CLUB,NATL FOOTBALL LEAGUE,ACCLAIM  ,ACCLAIM STUDIOS,SPORTS,FOOTBALL,01-Sep-01,2001,9,E,NO,58.64999771,43.00,0.00,0.00,0,6,0,3,96896,3.10,89.47%,27.00,119410,3.46,No,No,Non violent
NFL STREET,3,1,1,1,NFL STREETS,NATL FOOTBALL LEAGUE,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,FOOTBALL,01-Jan-04,2004,1,E,NO,79.90000153,41.33,0.00,0.00,3,12,0,52,1345625,56.37,94.92%,39.00,1502226,59.38,No,Yes,Non violent
NFL STREET 2,3,1,1,1,NFL STREETS,NATL FOOTBALL LEAGUE,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,FOOTBALL,01-Dec-04,2004,12,E,NO,79.19999949,50.00,0.00,0.00,3,12,0,52,236866,11.76,37.38%,46.33,672413,31.46,No,Yes,Non violent
NHL 2001,1,0,0,1,NHL,NATIONAL HOCKEY LEAGUE (NHL),ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,HOCKEY,01-Oct-00,2000,10,E,NO,81.90000153,50.00,0.00,0.00,0,0,0,0,301518,14.24,85.13%,44.00,377990,16.73,No,Yes,Non violent
NHL 2002,2,0,1,1,NHL,NATIONAL HOCKEY LEAGUE (NHL),ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,HOCKEY,01-Sep-01,2001,9,E,NO,87.5,50.50,34.89,14.24,0,4,1,1,561982,27.32,92.97%,46.50,627045,29.39,No,Yes,Non violent
NHL 2003,3,1,1,1,NHL,NATIONAL HOCKEY LEAGUE (NHL),ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,HOCKEY,01-Sep-02,2002,9,E,NO,77.73333486,48.00,27.32,41.56,0,7,3,8,490392,21.47,91.48%,37.00,568782,23.47,No,Yes,Non violent
NHL 2004,3,1,1,1,NHL,NATIONAL HOCKEY LEAGUE (NHL),ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,HOCKEY,01-Sep-03,2003,9,E,NO,84.3666687,49.33,21.47,63.03,0,6,6,18,490013,23.54,91.87%,45.00,546700,25.62,No,Yes,Non violent
NHL 2005,3,1,1,1,NHL,NATIONAL HOCKEY LEAGUE (NHL),ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,HOCKEY,01-Sep-04,2004,9,E,NO,77.03333282,35.33,23.54,86.57,0,3,9,27,207270,7.40,76.22%,33.33,286424,9.71,No,Yes,Non violent
NHL 2K3,3,1,1,1,NHL 2K,NATIONAL HOCKEY LEAGUE (NHL),SEGA OF AMERICA,TREYARCH INVENTION,SPORTS,HOCKEY,01-Nov-02,2002,11,E,NO,87.1333313,49.67,0.00,0.00,0,7,0,8,143377,6.67,95.26%,41.33,161168,7.00,No,No,Non violent
NHL FACE OFF 2001,1,0,0,1,NHL FACE OFF,NATIONAL HOCKEY LEAGUE (NHL),SONY ,989 SPORTS,SPORTS,HOCKEY,01-Feb-01,2001,2,E,NO,54.29999924,39.00,0.00,0.00,0,3,0,1,52590,2.02,83.11%,32.00,75618,2.43,No,Yes,Non violent
NHL FACEOFF 2003,1,0,0,1,NHL FACE OFF,NATIONAL HOCKEY LEAGUE (NHL),SONY ,SOLWORKS,SPORTS,HOCKEY,01-Nov-02,2002,11,E,NO,59.09999847,40.00,2.02,2.02,0,3,1,5,71867,2.56,91.87%,32.00,87172,2.79,No,Yes,Non violent
NHL HITZ 2002,3,1,1,1,NHL HITZ,NATIONAL HOCKEY LEAGUE (NHL),MIDWAY,BLACK BOX GAMES,SPORTS,HOCKEY,01-Sep-01,2001,9,E,NO,80.29999797,50.00,0.00,0.00,0,4,0,1,470861,22.50,92.82%,44.67,532834,24.24,No,No,Non violent
NHL HITZ 2003,3,1,1,1,NHL HITZ,NATIONAL HOCKEY LEAGUE (NHL),MIDWAY,BLACK BOX GAMES,SPORTS,HOCKEY,01-Sep-02,2002,9,E,NO,82.33333333,48.67,22.50,22.50,0,7,3,8,166537,7.46,88.52%,37.00,216020,8.43,No,No,Non violent
NHL HITZ PRO,3,1,1,1,NHL HITZ,NATIONAL HOCKEY LEAGUE (NHL),MIDWAY,MIDWAY HOME ENTERTAINMENT,SPORTS,HOCKEY,01-Sep-03,2003,9,E,NO,81.39999898,36.33,7.46,29.96,0,6,6,18,115682,3.81,91.43%,30.33,134287,4.16,No,No,Non violent
NHL RIVALS 2004,1,0,1,0,,NATIONAL HOCKEY LEAGUE (NHL),MICROSOFT ,MICROSOFT,SPORTS,HOCKEY,01-Nov-03,2003,11,E,YES,66.59999847,46.00,0.00,0.00,0,3,0,5,54235,1.91,93.21%,34.00,60957,2.05,No,No,Non violent
NICKELODEON PARTY BLAST,2,1,1,0,NICKELODEON,NICKELODEON,ATARI,DATA DESIGN,CHILDREN'S ,CHILDREN'S GAMES,01-Oct-02,2002,10,E,NO,15.60000038,35.00,0.00,0.00,0,4,0,0,220169,6.13,81.47%,26.50,287460,7.53,No,No,Non violent
NICKTOONS MOVIN',1,0,0,1,NICKTOONS,NICKELODEON,THQ ,MASS MEDIA,CHILDREN'S ,CHILDREN'S GAMES,01-Oct-04,2004,10,E,NO,65.69999695,19.00,0.00,0.00,0,3,0,10,93367,1.80,78.00%,19.00,119129,2.31,No,Yes,Non violent
NIGHTCASTER,1,0,1,0,NIGHTCASTER,,MICROSOFT ,,RPG,RPG,01-Jan-02,2002,1,T,NO,59.5,37.00,0.00,0.00,1,4,0,0,58832,2.18,90.00%,32.00,75600,2.42,No,No,Non violent
NIGHTCASTER2 EQUINOX,1,0,1,0,NIGHTCASTER,,JALECO,JALECO ENTERTAINMENT,RPG,RPG,01-Dec-02,2002,12,T,NO,48.29999924,40.00,0.00,0.00,1,4,0,0,16445,0.28,70.87%,14.00,27808,0.39,No,No,Non violent
NIGHTMARE OF DRUAGA,1,0,0,1,,,NAMCO,ARIKA,RPG,RPG,01-Oct-04,2004,10,E,NO,55.20000076,37.00,0.00,0.00,0,20,0,44,2534,0.09,30.87%,23.00,13488,0.30,No,No,Non violent
NIGHTSHADE,1,0,0,1,,,SEGA OF AMERICA,OVERWORKS,ACTION,GENERAL ACTION,01-Feb-04,2004,2,M,NO,67.80000305,32.00,0.00,0.00,0,40,0,82,37207,1.19,91.44%,30.00,42994,1.31,No,No,Violent
NINJA ASSAULT,2,0,0,2,,,NAMCO,NAMCO,SHOOTER,OTHER SHOOTER,01-Nov-02,2002,11,T,NO,59.20000076,51.50,0.00,0.00,0,6,0,14,46735,2.31,91.91%,41.50,52632,2.52,No,No,Violent
NINJA GAIDEN,1,0,1,0,NINJA GAIDEN,,TECMO,TECMO,ACTION,GENERAL ACTION,01-Mar-04,2004,3,M,YES,92.40000153,49.00,0.00,0.00,0,21,0,58,520871,25.68,96.29%,49.00,546368,26.67,No,No,Violent
NO ONE LIVES FOREVER,1,0,0,1,NO ONE LIVES FOREVER,,VIVENDI UNIVERSAL ,MONOLITH PRODUCTION,SHOOTER,1ST PERSON SHOOTER,01-Apr-02,2002,4,T,NO,69.90000153,38.00,0.00,0.00,0,8,0,10,48205,1.78,93.44%,34.00,55672,1.90,Vivendi,Yes,Violent
ODDWORLD: MUNCH'S ODDYSEE,1,0,1,0,ODDWORLD,,MICROSOFT ,ODDWORLD INHABITANTS,ACTION,PLATFORM/SCROLLING CHARACTER,01-Nov-01,2001,11,T,NO,78.69999695,49.00,0.00,0.00,0,1,0,0,324681,13.85,89.46%,37.00,414850,15.48,No,No,Violent
OKAGE: SHADOW KING,1,0,0,1,,,SONY ,ZENER WORKS,RPG,RPG,01-Sep-01,2001,9,T,NO,72.09999847,50.00,0.00,0.00,0,12,0,4,66478,2.64,76.77%,31.00,110176,3.44,No,Yes,Non violent
ONI,1,0,0,1,,,TAKE 2 INTERACTIVE ,ROCKSTAR GAMES,ACTION,GENERAL ACTION,01-Jan-01,2001,1,T,NO,68.59999847,40.00,0.00,0.00,0,14,0,0,159250,6.36,88.98%,35.00,206791,7.15,No,No,Violent
ONIMUSHA 2: SAMURAI,1,0,0,1,ONIMUSHA,,CAPCOM USA,CAPCOM,ADVENTURE,SURVIVAL HORROR,01-Aug-02,2002,8,M,NO,84.09999847,47.00,22.08,22.08,0,3,1,5,346742,13.93,88.35%,34.00,460470,15.77,No,No,Non violent
